Roman
Kudlakov
1e6d961c3fff027f0a49badef63134d2
[7.4.2021 | 15:15:38] {"type":"cmd","data":"run"}
,[7.4.2021 | 15:15:39] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:39] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:39] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:39] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:39] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:39] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:39] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:39] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:40] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":0,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16384,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:41] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20480,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:42] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":20992,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:43] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:44] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":4368,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":21248,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:45] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":23296,"gpioe":5392,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:46] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1296,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1040,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1040,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1040,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":19200,"gpioe":1040,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:47] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":18688,"gpioe":1040,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:48] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":18688,"gpioe":1040,"modeltime":0,"type":"gpio"}
,[7.4.2021 | 15:15:48] {"client-id":"95fe72b3-c89d-48a4-9f2a-bc7316c8d360","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":18688,"gpioe":1040,"modeltime":0,"type":"gpio"}
